,Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,class,allCaps,adjectives,superlatives,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
42,1123,4.6313446126447015,40,0,0,1.0,115.0,1.0,304.7142857142857,0.8762,0.046,0.925,0.029,0.001869741352446245
43,239,4.682008368200837,2,0,0,1.0,30.0,0.0,341.75,0.7351,0.072,0.879,0.049,0.00072992700729927
44,2200,5.106363636363636,54,0,0,8.0,252.0,8.0,215.8095238095238,0.9987,0.123,0.802,0.075,0.001464343242055938
45,953,4.943336831059812,10,0,0,2.0,108.0,3.0,133.30232558139534,0.8935,0.121,0.765,0.115,0.0010393209769617184
46,813,4.890528905289052,4,0,0,0.0,87.0,1.0,241.9,0.2716,0.048,0.906,0.046,0.0030883261272390363
47,622,4.879421221864953,9,0,0,0.0,76.0,0.0,161.34782608695653,0.6808,0.084,0.836,0.08,0.0024109295472810074
48,500,4.632,5,0,0,0.0,67.0,0.0,257.8181818181818,0.9792,0.084,0.895,0.022,0.008084358523725835
49,1146,4.786212914485166,18,0,0,1.0,150.0,2.0,257.3076923076923,0.9991,0.155,0.798,0.048,0.002531645569620253
50,1314,4.609589041095892,40,0,0,1.0,103.0,0.0,274.6666666666667,0.9976,0.118,0.821,0.061,0.00403117441547971
51,98,4.153061224489796,1,0,0,0.0,16.0,0.0,170.0,-0.0516,0.086,0.827,0.088,0.001953125
52,1248,4.3902243589743595,11,0,0,0.0,122.0,1.0,252.1851851851852,0.9902,0.093,0.857,0.05,0.0035113386978785663
53,916,4.9508733624454155,27,0,0,1.0,108.0,2.0,239.04347826086956,0.9944,0.123,0.808,0.068,0.0009057971014492754
54,576,4.576388888888889,17,0,0,3.0,48.0,3.0,191.23529411764707,0.6813,0.076,0.85,0.074,0.004591368227731864
55,372,4.876344086021505,21,0,0,1.0,44.0,0.0,246.0,-0.7566,0.044,0.89,0.066,0.008550855085508551
56,247,5.230769230769232,0,0,0,0.0,24.0,0.0,173.77777777777777,-0.6007,0.045,0.894,0.06,0.004452926208651399
57,809,4.862793572311496,16,0,0,8.0,100.0,3.0,171.03571428571428,-0.9862,0.097,0.771,0.131,0.0026993355481727574
58,781,4.4238156209987185,4,0,0,0.0,74.0,0.0,129.96969696969697,0.9929,0.082,0.9,0.018,0.006017125665355242
59,228,5.140350877192984,6,0,0,1.0,32.0,2.0,157.55555555555554,-0.8316,0.019,0.911,0.07,0.0
60,892,4.630044843049327,10,0,0,2.0,86.0,2.0,266.1578947368421,0.9972,0.144,0.788,0.068,0.002758620689655172
61,1627,4.604179471419792,27,0,0,6.0,166.0,3.0,306.0,0.9703,0.123,0.775,0.102,0.001085894233901618
62,965,4.494300518134715,2,0,0,0.0,96.0,0.0,255.66666666666666,0.9951,0.118,0.822,0.06,0.00018556318426424197
63,1082,4.848428835489834,72,0,0,6.0,125.0,0.0,189.91176470588235,0.9948,0.077,0.907,0.016,0.00600924499229584
64,1504,4.528590425531915,18,1,0,1.0,155.0,2.0,262.5625,0.9977,0.109,0.831,0.06,0.004150361674374482
65,948,4.0042194092827,19,0,0,0.0,59.0,2.0,121.76923076923077,-0.7921,0.028,0.932,0.04,0.006475872153749739
66,1053,4.395061728395062,33,0,0,1.0,99.0,1.0,238.125,0.9576,0.07,0.885,0.046,0.0036598117811084
67,1167,5.019708654670095,146,0,0,23.0,166.0,0.0,190.42105263157896,0.8834,0.024,0.962,0.014,0.004399835006187268
68,1016,4.283464566929133,11,0,0,0.0,98.0,4.0,168.625,0.9788,0.08,0.868,0.052,0.0023954302561267735
69,171,4.690058479532165,3,0,0,1.0,17.0,3.0,329.0,-0.9785,0.018,0.813,0.168,0.003033367037411527
70,589,4.711375212224109,9,0,0,1.0,56.0,0.0,225.73333333333332,-0.9194,0.041,0.884,0.075,0.000588235294117647
71,953,4.6998950682056675,15,2,0,2.0,101.0,1.0,190.68965517241378,0.9782,0.136,0.756,0.108,0.002338970852824757
72,1285,4.926070038910506,48,0,0,1.0,147.0,2.0,240.9375,-0.9536,0.091,0.815,0.094,0.003747254167205065
73,961,4.8126951092611865,0,0,0,5.0,136.0,1.0,563.1,-0.9811,0.078,0.809,0.113,0.0015957446808510637
74,1220,4.5975409836065575,6,2,0,7.0,144.0,0.0,253.74074074074073,0.9968,0.103,0.842,0.055,0.003926130580194852
75,1143,5.120734908136483,2,0,0,0.0,168.0,2.0,373.57894736842104,-0.9982,0.124,0.697,0.179,0.0021079258010118043
76,298,4.89261744966443,6,0,0,0.0,28.0,1.0,196.88888888888889,0.9542,0.07,0.913,0.016,0.0050561797752808986
77,757,4.693527080581243,14,0,0,1.0,94.0,2.0,544.125,-0.8285,0.055,0.88,0.065,0.006882312456985547
78,705,4.8510638297872335,32,0,0,1.0,70.0,3.0,175.875,-0.9678,0.093,0.792,0.115,0.0018854584020740043
79,986,4.907707910750507,25,0,0,2.0,96.0,1.0,492.6666666666667,-0.9954,0.05,0.845,0.105,0.0020260003376667227
80,609,5.180623973727422,12,0,0,1.0,89.0,1.0,211.55555555555554,0.9802,0.067,0.908,0.025,0.0018300653594771241
81,1300,4.1246153846153835,17,0,0,1.0,120.0,2.0,221.3,0.9879,0.091,0.851,0.058,0.0032993401319736052
82,793,4.537200504413619,14,0,0,3.0,82.0,2.0,247.16666666666666,0.9981,0.162,0.775,0.063,0.0020152261531571876
83,1069,4.2684752104770824,27,2,0,1.0,88.0,2.0,166.08823529411765,0.9981,0.125,0.842,0.034,0.003345070422535211
84,1192,4.203859060402683,62,0,0,0.0,110.0,5.0,101.73770491803279,0.9964,0.093,0.867,0.04,0.001915097350781998
85,1094,4.843692870201097,41,0,0,0.0,155.0,4.0,259.48,-0.9937,0.063,0.84,0.097,0.006450622024266626
86,507,4.810650887573964,8,0,0,1.0,59.0,0.0,425.0,0.996,0.168,0.777,0.054,0.0026836632002683663
87,60,4.1,1,0,0,0.0,5.0,1.0,102.66666666666667,0.8625,0.153,0.847,0.0,0.0
88,743,4.6756393001345895,24,0,0,2.0,64.0,0.0,282.1333333333333,-0.9668,0.095,0.785,0.12,0.0025906735751295338
89,207,4.3140096618357475,0,0,0,1.0,19.0,1.0,185.5,0.9794,0.143,0.857,0.0,0.0
90,1121,4.4611953612845685,8,0,0,0.0,126.0,1.0,182.61764705882354,0.9976,0.1,0.871,0.029,0.008490868311438641
91,393,4.343511450381679,22,0,0,2.0,32.0,2.0,265.625,0.9872,0.131,0.823,0.046,0.0014071294559099437
92,736,4.930706521739131,9,0,0,2.0,92.0,2.0,400.54545454545456,-0.4468,0.093,0.816,0.091,0.004076086956521739
93,264,4.590909090909091,7,0,0,0.0,29.0,3.0,124.16666666666667,0.8309,0.051,0.925,0.024,0.0073284477015323115
94,501,4.391217564870258,24,0,0,1.0,38.0,0.0,390.85714285714283,-0.8448,0.046,0.881,0.073,0.00036469730123997083
95,176,4.545454545454546,1,0,0,0.0,16.0,1.0,142.0,0.4297,0.104,0.823,0.073,0.004
96,1310,4.480916030534352,13,0,0,2.0,150.0,3.0,131.65454545454546,0.9985,0.107,0.858,0.035,0.0024677817384151355
97,902,4.392461197339246,44,0,0,0.0,63.0,1.0,213.08695652173913,-0.992,0.055,0.847,0.098,0.001421897217144018
98,401,4.466334164588528,12,0,0,0.0,44.0,0.0,203.0909090909091,-0.6798,0.092,0.809,0.098,0.004901960784313725
99,118,5.152542372881356,1,0,0,0.0,17.0,0.0,370.5,-0.9808,0.07,0.686,0.245,0.0026954177897574125
100,669,4.7847533632287,17,0,0,2.0,68.0,1.0,487.875,-0.9861,0.052,0.863,0.086,0.005626598465473146
101,1994,4.655967903711133,166,0,0,30.0,200.0,3.0,144.45569620253164,0.9988,0.097,0.858,0.045,0.0026982330925232833
102,437,4.510297482837529,4,0,0,1.0,47.0,2.0,186.53846153846155,-0.7469,0.072,0.85,0.078,0.003282724661469019
103,205,5.0,2,0,0,1.0,25.0,2.0,178.71428571428572,0.9185,0.14,0.785,0.075,0.0015910898965791568
104,754,4.653846153846153,52,0,0,1.0,87.0,4.0,172.44,0.9965,0.128,0.855,0.017,0.0011544677903486493
105,965,4.162694300518135,19,0,0,1.0,85.0,3.0,156.53125,0.9978,0.115,0.86,0.025,0.003967466772465781
106,663,4.788838612368023,91,0,0,5.0,87.0,3.0,164.33333333333334,0.9909,0.074,0.92,0.006,0.015124779430299974
107,164,5.286585365853658,2,0,0,1.0,26.0,0.0,350.6666666666667,0.7884,0.098,0.857,0.046,0.0028462998102466793
108,548,4.3175182481751815,0,0,0,1.0,47.0,1.0,171.64705882352942,0.973,0.091,0.863,0.046,0.0017041581458759373
109,441,5.324263038548753,5,0,0,4.0,52.0,0.0,256.72727272727275,0.9236,0.11,0.816,0.075,0.0028218694885361554
110,1549,4.551323434473853,27,1,0,1.0,160.0,3.0,229.55263157894737,0.9994,0.111,0.875,0.014,0.007077625570776256
111,23,4.565217391304348,0,0,0,0.0,2.0,0.0,129.0,0.3919,0.108,0.892,0.0,0.007751937984496124
112,292,4.376712328767123,7,0,0,1.0,33.0,0.0,177.33333333333334,0.9353,0.073,0.911,0.016,0.005610972568578554
113,793,4.424968474148802,26,1,0,3.0,82.0,2.0,242.5,0.9977,0.124,0.855,0.021,0.010497489730716568
114,139,4.611510791366906,8,0,0,1.0,19.0,0.0,789.0,0.4404,0.054,0.923,0.023,0.0038022813688212928
115,307,4.485342019543974,0,2,0,0.0,27.0,0.0,342.6,0.9741,0.104,0.876,0.02,0.005244755244755245
116,634,5.21608832807571,30,0,0,5.0,65.0,0.0,500.375,-0.9011,0.071,0.839,0.09,0.004488778054862843
117,678,4.346607669616518,11,2,0,2.0,53.0,2.0,366.7,0.1831,0.033,0.935,0.032,0.006260206859009254
118,385,4.825974025974026,24,0,0,0.0,44.0,0.0,324.7142857142857,0.9118,0.045,0.948,0.007,0.0008775778850372971
119,295,4.969491525423728,17,0,0,4.0,30.0,0.0,181.2,-0.9912,0.009,0.854,0.137,0.007688083470620538
120,879,4.581342434584755,57,0,0,0.0,105.0,3.0,275.1666666666667,0.2929,0.065,0.88,0.055,0.004627766599597585
121,172,4.697674418604652,0,0,0,0.0,21.0,2.0,163.83333333333334,0.743,0.063,0.911,0.026,0.009109311740890687
122,539,4.595547309833024,27,0,0,1.0,55.0,0.0,760.75,-0.5927,0.045,0.904,0.051,0.007879185817465528
123,172,4.511627906976744,2,0,0,0.0,15.0,0.0,192.6,0.9447,0.119,0.861,0.02,0.001034126163391934
