allCaps,adjectives,superlatives,class,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
0.0,3.0,0.0,1,116.0,0.431,0.119,0.881,0.0,0.017241379310344827
1.0,4.0,0.0,1,83.5,-0.5473,0.076,0.818,0.107,0.0
0.0,0.0,0.0,1,52.0,0.0,0.0,1.0,0.0,0.038461538461538464
0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
2.0,7.0,0.0,1,63.857142857142854,-0.8972,0.029,0.816,0.155,0.006622516556291391
0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
2.0,7.0,0.0,1,63.857142857142854,-0.8972,0.029,0.816,0.155,0.006622516556291391
0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
24.0,5.0,0.0,1,168.5,-0.128,0.066,0.859,0.075,0.029585798816568046
2.0,7.0,0.0,1,63.857142857142854,-0.8972,0.029,0.816,0.155,0.006622516556291391
0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
20.0,39.0,1.0,1,234.14285714285714,-0.9483,0.083,0.767,0.149,0.011501210653753027
0.0,1.0,0.0,1,47.0,-0.1531,0.0,0.914,0.086,0.010416666666666666
1.0,10.0,0.0,1,68.54545454545455,0.957,0.169,0.776,0.055,0.006535947712418301
90.0,145.0,5.0,1,101.24691358024691,-0.9856,0.064,0.854,0.082,0.005165785679961557
0.0,35.0,1.0,1,113.66666666666667,-0.6115,0.055,0.873,0.072,0.009652509652509652
1.0,46.0,2.0,1,196.25,-0.834,0.099,0.786,0.114,0.004103535353535354
0.0,8.0,1.0,1,92.57142857142857,-0.9199,0.123,0.671,0.206,0.00764525993883792
0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
0.0,8.0,1.0,1,92.57142857142857,-0.9199,0.123,0.671,0.206,0.00764525993883792
0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
0.0,8.0,1.0,1,92.57142857142857,-0.9199,0.123,0.671,0.206,0.00764525993883792
0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
112.0,17.0,0.0,1,917.0,0.0,0.0,1.0,0.0,0.12431842966194111
1.0,6.0,0.0,1,79.0,0.7579,0.213,0.787,0.0,0.018867924528301886
8.0,1.0,0.0,1,53.666666666666664,-0.4885,0.071,0.823,0.107,0.0
0.0,8.0,1.0,1,92.57142857142857,-0.9199,0.123,0.671,0.206,0.00764525993883792
0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
0.0,1.0,0.0,1,133.5,-0.6249,0.0,0.733,0.267,0.03731343283582089
0.0,1.0,0.0,1,133.5,-0.6249,0.0,0.733,0.267,0.03731343283582089
0.0,1.0,0.0,1,47.0,-0.1531,0.0,0.914,0.086,0.010416666666666666
1.0,10.0,0.0,1,68.54545454545455,0.957,0.169,0.776,0.055,0.006535947712418301
0.0,1.0,0.0,1,47.0,-0.1531,0.0,0.914,0.086,0.010416666666666666
1.0,10.0,0.0,1,68.54545454545455,0.957,0.169,0.776,0.055,0.006535947712418301
0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,1,96.0,-0.836,0.0,0.692,0.308,0.031088082901554404
39.0,470.0,8.0,1,164.46913580246914,0.9993,0.089,0.858,0.054,0.006686726847208292
0.0,0.0,0.0,1,60.5,-0.8689,0.0,0.647,0.353,0.0
0.0,3.0,0.0,1,96.0,-0.836,0.0,0.692,0.308,0.031088082901554404
29.0,150.0,2.0,1,135.2549019607843,0.9268,0.101,0.809,0.089,0.008732999284180386
2.0,17.0,0.0,1,124.14285714285714,-0.9231,0.037,0.831,0.132,0.006795016987542469
3.0,1.0,0.0,1,44.0,-0.5423,0.0,0.588,0.412,0.0
1.0,47.0,0.0,1,119.28571428571429,0.9755,0.105,0.838,0.057,0.0062524423602969914
1.0,47.0,0.0,1,119.28571428571429,0.9755,0.105,0.838,0.057,0.005863956215793589
7.0,19.0,1.0,1,200.28571428571428,0.8377,0.095,0.847,0.058,0.015625
19.0,7.0,0.0,1,125.0,-0.3034,0.0,0.956,0.044,0.023872679045092837
7.0,19.0,1.0,1,200.28571428571428,0.8377,0.095,0.847,0.058,0.015625
41.0,38.0,2.0,1,108.30434782608695,-0.9848,0.061,0.825,0.115,0.009087317265902806
9.0,85.0,2.0,1,135.83333333333334,0.995,0.11,0.844,0.046,0.015480498592681946
0.0,0.0,0.0,1,51.666666666666664,-0.4912,0.0,0.883,0.117,0.00625
0.0,0.0,0.0,1,42.0,0.0,0.0,1.0,0.0,0.0
0.0,9.0,0.0,1,110.16666666666667,0.4228,0.137,0.764,0.098,0.0075075075075075074
0.0,5.0,0.0,1,86.66666666666667,0.0,0.0,1.0,0.0,0.007575757575757576
12.0,4.0,0.0,1,71.0,-0.9106,0.0,0.684,0.316,0.013793103448275862
38.0,11.0,2.0,1,77.33333333333333,-0.9134,0.058,0.758,0.183,0.01279317697228145
12.0,4.0,0.0,1,71.0,-0.9106,0.0,0.684,0.316,0.013793103448275862
38.0,11.0,2.0,1,77.33333333333333,-0.9134,0.058,0.758,0.183,0.01279317697228145
0.0,0.0,0.0,1,36.0,0.0,0.0,1.0,0.0,0.027777777777777776
0.0,0.0,0.0,1,42.0,0.0,0.0,1.0,0.0,0.0
0.0,9.0,0.0,1,110.16666666666667,0.4228,0.137,0.764,0.098,0.0075075075075075074
0.0,5.0,0.0,1,86.66666666666667,0.0,0.0,1.0,0.0,0.007575757575757576
10.0,68.0,3.0,1,104.38888888888889,0.9422,0.075,0.875,0.05,0.0029000790930661744
10.0,141.0,3.0,1,162.25581395348837,-0.873,0.051,0.883,0.066,0.003276820059837584
0.0,20.0,0.0,1,61.25,0.8414,0.096,0.87,0.034,0.002680965147453083
6.0,42.0,0.0,1,152.27777777777777,0.9051,0.053,0.921,0.027,0.006889050036258158
0.0,12.0,0.0,1,70.08333333333333,0.4871,0.058,0.909,0.033,0.005868544600938967
0.0,34.0,0.0,1,79.82857142857142,-0.7757,0.0,0.974,0.026,0.007072135785007072
0.0,21.0,0.0,1,88.9,-0.967,0.083,0.734,0.183,0.008908685968819599
3.0,38.0,0.0,1,99.4,-0.9792,0.03,0.861,0.109,0.014449427005480818
0.0,45.0,1.0,1,80.51612903225806,0.9412,0.143,0.76,0.097,0.011084718923198733
6.0,124.0,4.0,1,150.48979591836735,0.9964,0.086,0.875,0.039,0.002830188679245283
0.0,11.0,0.0,1,66.83333333333333,0.6105,0.096,0.872,0.031,0.0049261083743842365
1.0,22.0,0.0,1,107.07692307692308,0.8993,0.074,0.92,0.005,0.004273504273504274
0.0,36.0,0.0,1,138.33333333333334,-0.836,0.034,0.912,0.054,0.013882240306366683
2.0,53.0,1.0,1,98.12903225806451,0.9051,0.05,0.912,0.038,0.004235907461713913
1.0,58.0,0.0,1,188.66666666666666,0.9877,0.129,0.818,0.053,0.0024613220815752463
0.0,29.0,1.0,1,119.76923076923077,0.1354,0.08,0.832,0.088,0.0031867431485022306
4.0,27.0,0.0,1,122.41666666666667,-0.9804,0.038,0.826,0.135,0.008108108108108109
2.0,26.0,0.0,1,94.0,0.8929,0.092,0.835,0.073,0.010005265929436546
0.0,82.0,0.0,1,72.27397260273973,0.9989,0.136,0.841,0.023,0.005609573672400898
0.0,8.0,0.0,1,81.33333333333333,0.1109,0.025,0.954,0.021,0.0
4.0,33.0,0.0,1,85.8,0.946,0.107,0.837,0.056,0.008645533141210375
0.0,8.0,0.0,1,58.714285714285715,-0.8225,0.042,0.805,0.153,0.011990407673860911
1.0,9.0,0.0,1,103.0,0.6249,0.078,0.922,0.0,0.004796163069544364
2.0,36.0,1.0,1,71.47368421052632,-0.9953,0.106,0.693,0.201,0.00726480203414457
1.0,32.0,0.0,1,83.95454545454545,0.3331,0.039,0.903,0.058,0.009635974304068522
0.0,31.0,0.0,1,130.375,0.9114,0.155,0.747,0.098,0.0038095238095238095
0.0,13.0,1.0,1,103.27272727272727,0.5417,0.034,0.956,0.01,0.011343804537521814
16.0,34.0,1.0,1,128.92307692307693,-0.9197,0.1,0.768,0.132,0.008886255924170616
0.0,12.0,1.0,1,83.66666666666667,0.8459,0.148,0.768,0.084,0.013806706114398421
0.0,29.0,0.0,1,100.9047619047619,0.9978,0.199,0.768,0.033,0.0018700327255726976
0.0,28.0,0.0,1,82.21052631578948,-0.9159,0.055,0.856,0.089,0.005063291139240506
3.0,50.0,2.0,1,143.26315789473685,0.9839,0.104,0.853,0.043,0.010218978102189781
0.0,10.0,0.0,1,631.0,0.6808,0.113,0.812,0.074,0.001584786053882726
0.0,17.0,0.0,1,78.70588235294117,0.9194,0.075,0.896,0.029,0.0029542097488921715
1.0,22.0,2.0,1,130.88888888888889,-0.4452,0.08,0.836,0.084,0.00927487352445194
3.0,8.0,0.0,1,63.857142857142854,0.8531,0.108,0.892,0.0,0.006622516556291391
1.0,24.0,0.0,1,147.375,-0.9409,0.052,0.839,0.109,0.00505902192242833
2.0,16.0,0.0,1,120.85714285714286,-0.9511,0.037,0.844,0.119,0.011737089201877934
0.0,13.0,0.0,1,77.71428571428571,-0.5284,0.147,0.679,0.175,0.00909090909090909
0.0,64.0,3.0,1,71.0,0.994,0.18,0.721,0.099,0.006599513720041681
0.0,29.0,0.0,1,65.16129032258064,0.918,0.11,0.819,0.071,0.0034146341463414634
3.0,10.0,0.0,1,113.2,0.9698,0.212,0.751,0.037,0.012280701754385965
1.0,32.0,0.0,1,119.08333333333333,-0.8402,0.035,0.885,0.08,0.010416666666666666
2.0,18.0,0.0,1,144.66666666666666,-0.3578,0.05,0.884,0.066,0.011454753722794959
3.0,132.0,2.0,1,118.98275862068965,0.9791,0.1,0.823,0.076,0.0025869502730669733
2.0,15.0,0.0,1,71.3076923076923,-0.9649,0.036,0.857,0.108,0.007982969664715274
1.0,45.0,0.0,1,88.42857142857143,0.8871,0.061,0.911,0.028,0.0043947263284059125
2.0,80.0,0.0,1,140.0,0.9957,0.106,0.84,0.054,0.01026694045174538
0.0,46.0,2.0,1,121.63636363636364,-0.695,0.083,0.826,0.09,0.00482017055988135
9.0,42.0,0.0,1,2078.0,-0.743,0.044,0.887,0.069,0.012993262752646775
1.0,29.0,0.0,1,125.25,0.7314,0.071,0.867,0.063,0.00991407799074686
1.0,26.0,0.0,1,180.25,0.9432,0.143,0.771,0.086,0.008281573498964804
4.0,10.0,1.0,1,100.71428571428571,0.9311,0.138,0.834,0.028,0.0028129395218002813
1.0,21.0,0.0,1,76.0,-0.9865,0.056,0.763,0.18,0.00764525993883792
0.0,31.0,0.0,1,119.5,-0.9542,0.089,0.765,0.146,0.0035587188612099642
2.0,77.0,0.0,1,80.33333333333333,0.9955,0.126,0.833,0.041,0.0024596884394643345
3.0,32.0,0.0,1,83.3125,0.974,0.135,0.84,0.025,0.006666666666666667
24.0,221.0,6.0,1,88.57352941176471,-0.9995,0.07,0.795,0.135,0.010179788194729497
4.0,16.0,0.0,1,70.875,0.2516,0.059,0.881,0.059,0.003484320557491289
12.0,72.0,5.0,1,108.65853658536585,-0.9991,0.082,0.71,0.209,0.002447163515016685
1.0,20.0,2.0,1,144.44444444444446,-0.6031,0.04,0.909,0.051,0.006880733944954129
17.0,46.0,0.0,1,145.3125,0.4017,0.087,0.823,0.09,0.01282051282051282
1.0,11.0,0.0,1,74.16666666666667,-0.5775,0.046,0.88,0.074,0.005549389567147614
8.0,28.0,1.0,1,108.72727272727273,0.9605,0.113,0.86,0.028,0.0024875621890547263
0.0,13.0,0.0,1,67.92307692307692,0.9703,0.198,0.711,0.091,0.013407821229050279
6.0,43.0,0.0,1,102.72727272727273,0.8316,0.052,0.926,0.022,0.0070144673388864535
0.0,62.0,1.0,1,110.70588235294117,0.9873,0.124,0.807,0.069,0.004477218856992362
12.0,56.0,0.0,1,160.3684210526316,0.9831,0.073,0.918,0.008,0.005872756933115824
7.0,199.0,10.0,1,105.60576923076923,-0.982,0.071,0.846,0.083,0.007126104997293884
0.0,8.0,0.0,1,101.71428571428571,0.6187,0.062,0.938,0.0,0.004178272980501393
3.0,53.0,2.0,1,137.0,0.5815,0.029,0.949,0.022,0.002761477390403866
5.0,26.0,0.0,1,146.33333333333334,-0.7262,0.053,0.866,0.081,0.011318619128466326
0.0,17.0,1.0,1,93.0,0.8829,0.125,0.799,0.075,0.001936108422071636
1.0,51.0,0.0,1,144.4,-0.5766,0.067,0.857,0.077,0.00045871559633027525
0.0,51.0,0.0,1,77.63636363636364,0.992,0.135,0.824,0.042,0.0065535851966075555
0.0,10.0,0.0,1,76.4,0.3716,0.066,0.934,0.0,0.012953367875647668
7.0,66.0,0.0,1,121.7741935483871,0.9642,0.099,0.833,0.068,0.007621550591327201
1.0,14.0,0.0,1,87.9,-0.8992,0.0,0.903,0.097,0.010135135135135136
2.0,29.0,0.0,1,74.38888888888889,-0.9314,0.095,0.759,0.146,0.00663716814159292
0.0,34.0,0.0,1,101.23076923076923,0.9183,0.117,0.831,0.052,0.0030120481927710845
0.0,26.0,0.0,1,96.15384615384616,-0.5815,0.107,0.777,0.115,0.003169572107765452
0.0,6.0,0.0,1,114.33333333333333,0.3022,0.116,0.782,0.101,0.0
3.0,30.0,0.0,1,171.66666666666666,0.9602,0.18,0.737,0.083,0.00676328502415459
15.0,23.0,0.0,1,125.33333333333333,0.9533,0.076,0.901,0.023,0.003695881731784583
0.0,25.0,2.0,1,124.6,-0.0031,0.073,0.836,0.091,0.008764940239043825
2.0,39.0,1.0,1,117.625,0.691,0.076,0.862,0.062,0.013178703215603585
5.0,17.0,0.0,1,104.88888888888889,0.4926,0.088,0.851,0.061,0.012605042016806723
0.0,6.0,0.0,1,96.0,-0.296,0.0,0.973,0.027,0.01859504132231405
6.0,82.0,0.0,1,95.925,0.3272,0.089,0.824,0.086,0.007997936016511867
1.0,23.0,0.0,1,88.9,-0.2244,0.069,0.855,0.075,0.0033407572383073497
3.0,43.0,0.0,1,163.0,-0.9741,0.023,0.874,0.103,0.0027731558513588465
2.0,17.0,0.0,1,40.30769230769231,-0.7928,0.054,0.851,0.096,0.001863932898415657
1.0,20.0,0.0,1,83.3,-0.4975,0.072,0.823,0.104,0.0023752969121140144
12.0,52.0,0.0,1,121.30434782608695,-0.8074,0.09,0.812,0.098,0.0067712045616536
1.0,16.0,0.0,1,68.71428571428571,0.9279,0.174,0.806,0.021,0.006160164271047228
0.0,22.0,0.0,1,121.6923076923077,-0.9484,0.024,0.877,0.1,0.00878293601003764
3.0,25.0,0.0,1,74.33333333333333,-0.917,0.113,0.733,0.154,0.001771479185119575
2.0,26.0,0.0,1,155.8,0.9617,0.103,0.866,0.031,0.003190810465858328
0.0,73.0,0.0,1,107.64864864864865,0.9489,0.083,0.864,0.053,0.006469270962926101
6.0,37.0,0.0,1,151.28571428571428,0.84,0.077,0.875,0.047,0.012670107930549039
0.0,7.0,0.0,1,161.0,-0.6486,0.0,0.848,0.152,0.006172839506172839
0.0,6.0,0.0,1,76.0,0.0,0.0,1.0,0.0,0.006493506493506494
0.0,5.0,0.0,1,85.0,0.5106,0.199,0.707,0.093,0.0
14.0,72.0,3.0,1,151.2173913043478,-0.9825,0.085,0.794,0.121,0.0022766078542970974
4.0,54.0,1.0,1,101.45,0.8767,0.094,0.853,0.054,0.004859086491739553
0.0,7.0,0.0,1,136.0,-0.5719,0.0,0.866,0.134,0.0
0.0,3.0,0.0,1,73.5,0.6369,0.154,0.846,0.0,0.006711409395973154
0.0,3.0,0.0,1,173.0,-0.2732,0.0,0.913,0.087,0.017241379310344827
0.0,1.0,0.0,1,71.5,-0.1027,0.092,0.8,0.108,0.006896551724137931
1.0,6.0,0.0,1,170.0,0.5859,0.209,0.791,0.0,0.011695906432748537
0.0,2.0,1.0,1,71.5,0.7783,0.245,0.755,0.0,0.006896551724137931
0.0,3.0,0.0,1,154.0,-0.6705,0.087,0.685,0.227,0.0064516129032258064
0.0,6.0,0.0,1,158.0,0.0,0.0,1.0,0.0,0.006289308176100629
1.0,5.0,0.0,1,85.0,-0.6249,0.0,0.859,0.141,0.0
3.0,131.0,1.0,1,235.5,-0.9231,0.069,0.85,0.08,0.01279887482419128
0.0,0.0,0.0,1,67.5,-0.4019,0.0,0.899,0.101,0.021897810218978103
1.0,3.0,0.0,1,82.5,0.0,0.0,1.0,0.0,0.005988023952095809
0.0,3.0,0.0,1,68.0,-0.1027,0.0,0.943,0.057,0.0
0.0,3.0,0.0,1,75.0,0.4215,0.119,0.827,0.054,0.006578947368421052
0.0,8.0,0.0,1,189.0,0.875,0.344,0.656,0.0,0.0
0.0,5.0,0.0,1,87.0,0.5267,0.124,0.876,0.0,0.0
0.0,8.0,0.0,1,166.0,0.0,0.0,1.0,0.0,0.011976047904191617
2.0,6.0,0.0,1,67.5,0.0,0.0,1.0,0.0,0.0072992700729927005
0.0,4.0,0.0,1,42.666666666666664,0.2942,0.205,0.696,0.099,0.022900763358778626
1.0,8.0,0.0,1,143.0,-0.3182,0.0,0.913,0.087,0.013888888888888888
1.0,5.0,0.0,1,153.0,-0.7717,0.0,0.741,0.259,0.006493506493506494
0.0,3.0,0.0,1,161.0,0.6369,0.191,0.809,0.0,0.024691358024691357
0.0,6.0,0.0,1,158.0,-0.296,0.112,0.734,0.154,0.006289308176100629
13.0,215.0,2.0,1,82.47154471544715,0.9606,0.083,0.849,0.068,0.006024096385542169
0.0,5.0,0.0,1,147.0,0.6808,0.196,0.804,0.0,0.006756756756756757
0.0,4.0,0.0,1,94.0,-0.5267,0.0,0.88,0.12,0.0
2.0,1.0,0.0,1,155.0,-0.2023,0.087,0.764,0.149,0.00641025641025641
0.0,5.0,1.0,1,42.25,-0.765,0.061,0.637,0.303,0.011560693641618497
1.0,6.0,1.0,1,144.0,-0.3182,0.0,0.901,0.099,0.006896551724137931
2.0,4.0,0.0,1,163.0,0.5423,0.164,0.836,0.0,0.012195121951219513
1.0,7.0,0.0,1,86.5,0.802,0.281,0.719,0.0,0.005714285714285714
0.0,3.0,1.0,1,148.0,0.4019,0.114,0.886,0.0,0.006711409395973154
0.0,7.0,1.0,1,165.0,-0.6908,0.0,0.836,0.164,0.04216867469879518
0.0,4.0,0.0,1,75.0,0.4215,0.104,0.896,0.0,0.006578947368421052
2.0,4.0,0.0,1,155.0,-0.7906,0.0,0.767,0.233,0.00641025641025641
1.0,1.0,0.0,1,152.0,0.0,0.0,1.0,0.0,0.006535947712418301
0.0,7.0,0.0,1,173.0,0.5106,0.125,0.875,0.0,0.005747126436781609
