Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,allCaps,adjectives,superlatives,class,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
1931,4.755049197307095,54,1,13.0,213.0,1.0,1,180.09677419354838,-0.9991,0.103,0.74,0.157,0.002843686128143606
433,4.351039260969976,20,0,5.0,39.0,0.0,1,137.64705882352942,0.3933,0.084,0.841,0.075,0.007623888182973317
602,4.857142857142857,30,0,4.0,57.0,0.0,1,196.72222222222223,0.9846,0.099,0.854,0.048,0.004479283314669653
2932,4.694406548431106,9,0,6.0,327.0,0.0,1,183.19565217391303,0.7006,0.091,0.825,0.083,0.006238964096527369
1212,4.858910891089109,18,0,8.0,162.0,8.0,1,216.78787878787878,-0.9974,0.085,0.778,0.138,0.003193557345181894
791,4.59165613147914,24,0,7.0,94.0,3.0,1,154.0,0.9863,0.105,0.839,0.055,0.0033318525099955577
946,4.513742071881606,44,0,6.0,86.0,1.0,1,134.53846153846155,0.9846,0.098,0.84,0.063,0.0034007179293406384
4634,5.1521363832542075,431,1,67.0,557.0,7.0,1,142.75242718446603,0.9997,0.106,0.84,0.054,0.008089963074857334
64,4.671875,2,0,0.0,6.0,0.0,1,93.75,0.2682,0.146,0.737,0.117,0.0079155672823219
154,4.928571428571429,0,0,0.0,15.0,0.0,1,186.0,-0.9624,0.115,0.688,0.197,0.008556149732620321
111,4.711711711711712,0,0,0.0,10.0,1.0,1,162.5,-0.5803,0.073,0.815,0.112,0.010703363914373088
71,3.943661971830986,2,0,0.0,7.0,0.0,1,121.33333333333333,0.2263,0.124,0.788,0.088,0.008174386920980926
117,4.905982905982906,9,0,0.0,8.0,0.0,1,120.83333333333333,-0.7998,0.12,0.712,0.169,0.02051983584131327
117,4.905982905982906,9,0,0.0,8.0,0.0,1,120.83333333333333,-0.7998,0.12,0.712,0.169,0.02051983584131327
111,4.711711711711712,0,0,0.0,10.0,1.0,1,162.5,-0.5803,0.073,0.815,0.112,0.010703363914373088
71,3.943661971830986,2,0,0.0,7.0,0.0,1,121.33333333333333,0.2263,0.124,0.788,0.088,0.008174386920980926
117,4.905982905982906,9,0,0.0,8.0,0.0,1,120.83333333333333,-0.7998,0.12,0.712,0.169,0.02051983584131327
4117,5.342239494777751,403,1,65.0,533.0,6.0,1,145.2,0.9998,0.105,0.865,0.029,0.008310045594940432
63,5.587301587301587,1,0,0.0,6.0,0.0,1,109.5,-0.5719,0.031,0.867,0.102,0.013605442176870748
324,6.0586419753086425,45,0,5.0,34.0,0.0,1,172.28571428571428,-0.3384,0.092,0.801,0.107,0.012345679012345678
116,5.043103448275862,12,0,3.0,13.0,0.0,1,146.4,-0.7845,0.028,0.886,0.085,0.010869565217391304
210,5.538095238095238,2,0,6.0,29.0,1.0,1,177.375,0.9662,0.129,0.844,0.027,0.00558659217877095
63,5.587301587301587,1,0,0.0,6.0,0.0,1,109.5,-0.5719,0.031,0.867,0.102,0.013605442176870748
324,6.0586419753086425,45,0,5.0,34.0,0.0,1,172.28571428571428,-0.3384,0.092,0.801,0.107,0.012345679012345678
63,5.587301587301587,1,0,0.0,6.0,0.0,1,109.5,-0.5719,0.031,0.867,0.102,0.013605442176870748
324,6.0586419753086425,45,0,5.0,34.0,0.0,1,172.28571428571428,-0.3384,0.092,0.801,0.107,0.012345679012345678
324,6.0586419753086425,45,0,5.0,34.0,0.0,1,172.28571428571428,-0.3384,0.092,0.801,0.107,0.012345679012345678
17,5.117647058823528,0,0,0.0,12.0,0.0,1,110.0,0.1779,0.222,0.633,0.145,0.008849557522123894
186,5.526881720430108,42,0,106.0,19.0,0.0,1,1252.0,-0.7065,0.0,0.966,0.034,0.12370311252992817
4393,5.275438197131801,527,1,57.0,536.0,6.0,1,135.25714285714287,0.9998,0.099,0.859,0.042,0.010362333959246123
224,4.227678571428571,3,0,0.0,16.0,0.0,1,109.27272727272727,-0.9164,0.082,0.788,0.129,0.006600660066006601
139,5.179856115107913,8,0,8.0,14.0,0.0,1,224.75,-0.3167,0.053,0.871,0.077,0.013289036544850499
6,6.333333333333332,0,0,0.0,3.0,0.0,1,45.0,-0.4939,0.0,0.61,0.39,0.020833333333333332
1,9.0,0,1,0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
287,5.324041811846691,15,4,22.0,51.0,0.0,1,148.53846153846155,0.8466,0.073,0.88,0.047,0.014826175869120654
40,4.45,2,0,2.0,3.0,0.0,1,74.66666666666667,-0.7983,0.061,0.73,0.209,0.01327433628318584
3715,5.275100942126514,333,1,52.0,463.0,5.0,1,150.40880503144655,0.9996,0.113,0.823,0.064,0.007064656062796943
310,5.064516129032258,6,0,0.0,29.0,1.0,1,213.11111111111111,-0.6314,0.037,0.916,0.047,0.006732263076126359
23,3.8695652173913038,0,0,0.0,3.0,0.0,1,116.0,0.431,0.119,0.881,0.0,0.017241379310344827
71,3.5774647887323945,0,0,1.0,4.0,0.0,1,83.5,-0.5473,0.076,0.818,0.107,0.0
4,10.75,3,0,0.0,0.0,0.0,1,52.0,0.0,0.0,1.0,0.0,0.038461538461538464
1,9.0,0,1,0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
82,4.2317073170731705,2,0,2.0,7.0,0.0,1,63.857142857142854,-0.8972,0.029,0.816,0.155,0.006622516556291391
42,7.023809523809524,2,0,0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
82,4.2317073170731705,2,0,2.0,7.0,0.0,1,63.857142857142854,-0.8972,0.029,0.816,0.155,0.006622516556291391
42,7.023809523809524,2,0,0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
1,9.0,0,1,0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
42,7.023809523809524,2,0,0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
42,7.023809523809524,2,0,0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
50,5.36,3,0,24.0,5.0,0.0,1,168.5,-0.128,0.066,0.859,0.075,0.029585798816568046
82,4.2317073170731705,2,0,2.0,7.0,0.0,1,63.857142857142854,-0.8972,0.029,0.816,0.155,0.006622516556291391
42,7.023809523809524,2,0,0.0,5.0,0.0,1,186.0,0.194,0.097,0.845,0.058,0.034759358288770054
1,9.0,0,1,0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
1,9.0,0,1,0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
230,5.769565217391304,7,0,20.0,39.0,1.0,1,234.14285714285714,-0.9483,0.083,0.767,0.149,0.011501210653753027
19,3.842105263157895,0,0,0.0,1.0,0.0,1,47.0,-0.1531,0.0,0.914,0.086,0.010416666666666666
147,4.0068027210884365,1,0,1.0,10.0,0.0,1,68.54545454545455,0.957,0.169,0.776,0.055,0.006535947712418301
1506,4.339309428950863,38,2,90.0,145.0,5.0,1,101.24691358024691,-0.9856,0.064,0.854,0.082,0.005165785679961557
160,5.23125,6,0,0.0,35.0,1.0,1,113.66666666666667,-0.6115,0.055,0.873,0.072,0.009652509652509652
519,4.901734104046243,10,0,1.0,46.0,2.0,1,196.25,-0.834,0.099,0.786,0.114,0.004103535353535354
117,4.367521367521366,0,0,0.0,8.0,1.0,1,92.57142857142857,-0.9199,0.123,0.671,0.206,0.00764525993883792
15,7.133333333333334,7,0,0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
117,4.367521367521366,0,0,0.0,8.0,1.0,1,92.57142857142857,-0.9199,0.123,0.671,0.206,0.00764525993883792
15,7.133333333333334,7,0,0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
15,7.133333333333334,7,0,0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
117,4.367521367521366,0,0,0.0,8.0,1.0,1,92.57142857142857,-0.9199,0.123,0.671,0.206,0.00764525993883792
15,7.133333333333334,7,0,0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
148,5.087837837837838,62,0,112.0,17.0,0.0,1,917.0,0.0,0.0,1.0,0.0,0.12431842966194111
26,4.846153846153847,15,0,1.0,6.0,0.0,1,79.0,0.7579,0.213,0.787,0.0,0.018867924528301886
53,4.811320754716982,12,5,8.0,1.0,0.0,1,53.666666666666664,-0.4885,0.071,0.823,0.107,0.0
117,4.367521367521366,0,0,0.0,8.0,1.0,1,92.57142857142857,-0.9199,0.123,0.671,0.206,0.00764525993883792
15,7.133333333333334,7,0,0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
17,13.176470588235292,23,0,0.0,1.0,0.0,1,133.5,-0.6249,0.0,0.733,0.267,0.03731343283582089
17,13.176470588235292,23,0,0.0,1.0,0.0,1,133.5,-0.6249,0.0,0.733,0.267,0.03731343283582089
19,3.842105263157895,0,0,0.0,1.0,0.0,1,47.0,-0.1531,0.0,0.914,0.086,0.010416666666666666
147,4.0068027210884365,1,0,1.0,10.0,0.0,1,68.54545454545455,0.957,0.169,0.776,0.055,0.006535947712418301
19,3.842105263157895,0,0,0.0,1.0,0.0,1,47.0,-0.1531,0.0,0.914,0.086,0.010416666666666666
147,4.0068027210884365,1,0,1.0,10.0,0.0,1,68.54545454545455,0.957,0.169,0.776,0.055,0.006535947712418301
15,7.133333333333334,7,0,0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
15,7.133333333333334,7,0,0.0,2.0,0.0,1,135.0,0.0,0.0,1.0,0.0,0.05185185185185185
500,5.0,0,0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
23,6.695652173913044,6,0,0.0,3.0,0.0,1,96.0,-0.836,0.0,0.692,0.308,0.031088082901554404
4240,5.117216981132075,362,3,39.0,470.0,8.0,1,164.46913580246914,0.9993,0.089,0.858,0.054,0.006686726847208292
21,4.523809523809524,2,0,0.0,0.0,0.0,1,60.5,-0.8689,0.0,0.647,0.353,0.0
23,6.695652173913044,6,0,0.0,3.0,0.0,1,96.0,-0.836,0.0,0.692,0.308,0.031088082901554404
1114,4.989228007181328,53,5,29.0,150.0,2.0,1,135.2549019607843,0.9268,0.101,0.809,0.089,0.008732999284180386
137,5.124087591240876,10,0,2.0,17.0,0.0,1,124.14285714285714,-0.9231,0.037,0.831,0.132,0.006795016987542469
6,6.166666666666668,1,0,3.0,1.0,0.0,1,44.0,-0.5423,0.0,0.588,0.412,0.0
401,5.077306733167084,12,0,1.0,47.0,0.0,1,119.28571428571429,0.9755,0.105,0.838,0.057,0.0062524423602969914
401,5.077306733167084,12,0,1.0,47.0,0.0,1,119.28571428571429,0.9755,0.105,0.838,0.057,0.005863956215793589
252,4.365079365079366,11,0,7.0,19.0,1.0,1,200.28571428571428,0.8377,0.095,0.847,0.058,0.015625
52,5.769230769230768,8,0,19.0,7.0,0.0,1,125.0,-0.3034,0.0,0.956,0.044,0.023872679045092837
252,4.365079365079366,11,0,7.0,19.0,1.0,1,200.28571428571428,0.8377,0.095,0.847,0.058,0.015625
455,4.325274725274725,10,8,41.0,38.0,2.0,1,108.30434782608695,-0.9848,0.061,0.825,0.115,0.009087317265902806
790,5.0430379746835445,66,2,9.0,85.0,2.0,1,135.83333333333334,0.995,0.11,0.844,0.046,0.015480498592681946
25,4.4,0,2,0.0,0.0,0.0,1,51.666666666666664,-0.4912,0.0,0.883,0.117,0.00625
4,8.5,0,0,0.0,0.0,0.0,1,42.0,0.0,0.0,1.0,0.0,0.0
132,3.8939393939393936,2,0,0.0,9.0,0.0,1,110.16666666666667,0.4228,0.137,0.764,0.098,0.0075075075075075074
39,5.384615384615384,1,0,0.0,5.0,0.0,1,86.66666666666667,0.0,0.0,1.0,0.0,0.007575757575757576
27,4.0,0,4,12.0,4.0,0.0,1,71.0,-0.9106,0.0,0.684,0.316,0.013793103448275862
85,4.341176470588235,4,0,38.0,11.0,2.0,1,77.33333333333333,-0.9134,0.058,0.758,0.183,0.01279317697228145
27,4.0,0,4,12.0,4.0,0.0,1,71.0,-0.9106,0.0,0.684,0.316,0.013793103448275862
85,4.341176470588235,4,0,38.0,11.0,2.0,1,77.33333333333333,-0.9134,0.058,0.758,0.183,0.01279317697228145
5,5.4,0,0,0.0,0.0,0.0,1,36.0,0.0,0.0,1.0,0.0,0.027777777777777776
4,8.5,0,0,0.0,0.0,0.0,1,42.0,0.0,0.0,1.0,0.0,0.0
132,3.8939393939393936,2,0,0.0,9.0,0.0,1,110.16666666666667,0.4228,0.137,0.764,0.098,0.0075075075075075074
39,5.384615384615384,1,0,0.0,5.0,0.0,1,86.66666666666667,0.0,0.0,1.0,0.0,0.007575757575757576
613,5.0424143556280585,20,3,10.0,68.0,3.0,1,104.38888888888889,0.9422,0.075,0.875,0.05,0.0029000790930661744
1111,5.1305130513051305,77,0,10.0,141.0,3.0,1,162.25581395348837,-0.873,0.051,0.883,0.066,0.003276820059837584
143,4.083916083916084,10,0,0.0,20.0,0.0,1,61.25,0.8414,0.096,0.87,0.034,0.002680965147453083
489,4.5378323108384455,22,0,6.0,42.0,0.0,1,152.27777777777777,0.9051,0.053,0.921,0.027,0.006889050036258158
168,3.952380952380953,13,0,0.0,12.0,0.0,1,70.08333333333333,0.4871,0.058,0.909,0.033,0.005868544600938967
508,4.409448818897638,44,0,0.0,34.0,0.0,1,79.82857142857142,-0.7757,0.0,0.974,0.026,0.007072135785007072
144,4.986111111111111,8,0,0.0,21.0,0.0,1,88.9,-0.967,0.083,0.734,0.183,0.008908685968819599
344,4.546511627906976,58,0,3.0,38.0,0.0,1,99.4,-0.9792,0.03,0.861,0.109,0.014449427005480818
439,4.642369020501139,6,1,0.0,45.0,1.0,1,80.51612903225806,0.9412,0.143,0.76,0.097,0.011084718923198733
1415,4.067137809187279,46,6,6.0,124.0,4.0,1,150.48979591836735,0.9964,0.086,0.875,0.039,0.002830188679245283
78,3.91025641025641,8,0,0.0,11.0,0.0,1,66.83333333333333,0.6105,0.096,0.872,0.031,0.0049261083743842365
246,4.5650406504065035,16,0,1.0,22.0,0.0,1,107.07692307692308,0.8993,0.074,0.92,0.005,0.004273504273504274
328,5.234756097560974,4,0,0.0,36.0,0.0,1,138.33333333333334,-0.836,0.034,0.912,0.054,0.013882240306366683
495,5.022222222222221,28,0,2.0,53.0,1.0,1,98.12903225806451,0.9051,0.05,0.912,0.038,0.004235907461713913
480,4.8625,7,2,1.0,58.0,0.0,1,188.66666666666666,0.9877,0.129,0.818,0.053,0.0024613220815752463
283,4.434628975265018,3,0,0.0,29.0,1.0,1,119.76923076923077,0.1354,0.08,0.832,0.088,0.0031867431485022306
269,4.241635687732342,1,1,4.0,27.0,0.0,1,122.41666666666667,-0.9804,0.038,0.826,0.135,0.008108108108108109
340,4.323529411764706,45,0,2.0,26.0,0.0,1,94.0,0.8929,0.092,0.835,0.073,0.010005265929436546
989,4.232558139534883,0,8,0.0,82.0,0.0,1,72.27397260273973,0.9989,0.136,0.841,0.023,0.005609573672400898
99,3.7373737373737375,1,0,0.0,8.0,0.0,1,81.33333333333333,0.1109,0.025,0.954,0.021,0.0
311,4.369774919614148,54,0,4.0,33.0,0.0,1,85.8,0.946,0.107,0.837,0.056,0.008645533141210375
71,4.577464788732393,8,0,0.0,8.0,0.0,1,58.714285714285715,-0.8225,0.042,0.805,0.153,0.011990407673860911
64,5.359375,4,0,1.0,9.0,0.0,1,103.0,0.6249,0.078,0.922,0.0,0.004796163069544364
490,4.414285714285715,27,0,2.0,36.0,1.0,1,71.47368421052632,-0.9953,0.106,0.693,0.201,0.00726480203414457
330,4.460606060606062,26,1,1.0,32.0,0.0,1,83.95454545454545,0.3331,0.039,0.903,0.058,0.009635974304068522
185,4.5729729729729724,11,2,0.0,31.0,0.0,1,130.375,0.9114,0.155,0.747,0.098,0.0038095238095238095
186,4.89247311827957,27,0,0.0,13.0,1.0,1,103.27272727272727,0.5417,0.034,0.956,0.01,0.011343804537521814
272,4.944852941176472,14,2,16.0,34.0,1.0,1,128.92307692307693,-0.9197,0.1,0.768,0.132,0.008886255924170616
106,3.679245283018868,1,1,0.0,12.0,1.0,1,83.66666666666667,0.8459,0.148,0.768,0.084,0.013806706114398421
395,4.341772151898734,0,1,0.0,29.0,0.0,1,100.9047619047619,0.9978,0.199,0.768,0.033,0.0018700327255726976
279,4.5017921146953395,7,1,0.0,28.0,0.0,1,82.21052631578948,-0.9159,0.055,0.856,0.089,0.005063291139240506
449,4.939866369710468,20,0,3.0,50.0,2.0,1,143.26315789473685,0.9839,0.104,0.853,0.043,0.010218978102189781
129,3.8914728682170536,0,0,0.0,10.0,0.0,1,631.0,0.6808,0.113,0.812,0.074,0.001584786053882726
255,4.188235294117646,0,1,0.0,17.0,0.0,1,78.70588235294117,0.9194,0.075,0.896,0.029,0.0029542097488921715
208,4.5480769230769225,0,0,1.0,22.0,2.0,1,130.88888888888889,-0.4452,0.08,0.836,0.084,0.00927487352445194
82,4.329268292682927,11,0,3.0,8.0,0.0,1,63.857142857142854,0.8531,0.108,0.892,0.0,0.006622516556291391
204,4.632352941176472,0,0,1.0,24.0,0.0,1,147.375,-0.9409,0.052,0.839,0.109,0.00505902192242833
157,4.267515923566879,1,0,2.0,16.0,0.0,1,120.85714285714286,-0.9511,0.037,0.844,0.119,0.011737089201877934
102,4.235294117647058,0,0,0.0,13.0,0.0,1,77.71428571428571,-0.5284,0.147,0.679,0.175,0.00909090909090909
505,4.211881188118812,14,12,0.0,64.0,3.0,1,71.0,0.994,0.18,0.721,0.099,0.006599513720041681
393,4.0661577608142485,9,0,0.0,29.0,0.0,1,65.16129032258064,0.918,0.11,0.819,0.071,0.0034146341463414634
106,4.179245283018868,15,3,3.0,10.0,0.0,1,113.2,0.9698,0.212,0.751,0.037,0.012280701754385965
236,4.864406779661016,114,0,1.0,32.0,0.0,1,119.08333333333333,-0.8402,0.035,0.885,0.08,0.010416666666666666
168,4.166666666666667,17,2,2.0,18.0,0.0,1,144.66666666666666,-0.3578,0.05,0.884,0.066,0.011454753722794959
1241,4.464141821112007,16,1,3.0,132.0,2.0,1,118.98275862068965,0.9791,0.1,0.823,0.076,0.0025869502730669733
341,4.343108504398827,31,1,2.0,15.0,0.0,1,71.3076923076923,-0.9649,0.036,0.857,0.108,0.007982969664715274
442,4.4389140271493215,9,0,1.0,45.0,0.0,1,88.42857142857143,0.8871,0.061,0.911,0.028,0.0043947263284059125
940,4.577659574468085,15,1,2.0,80.0,0.0,1,140.0,0.9957,0.106,0.84,0.054,0.01026694045174538
494,4.297570850202429,12,2,0.0,46.0,2.0,1,121.63636363636364,-0.695,0.083,0.826,0.09,0.00482017055988135
327,5.085626911314985,30,0,9.0,42.0,0.0,1,2078.0,-0.743,0.044,0.887,0.069,0.012993262752646775
264,4.579545454545454,1,1,1.0,29.0,0.0,1,125.25,0.7314,0.071,0.867,0.063,0.00991407799074686
242,4.7190082644628095,0,1,1.0,26.0,0.0,1,180.25,0.9432,0.143,0.771,0.086,0.008281573498964804
119,4.8655462184873945,0,0,4.0,10.0,1.0,1,100.71428571428571,0.9311,0.138,0.834,0.028,0.0028129395218002813
239,4.309623430962343,17,2,1.0,21.0,0.0,1,76.0,-0.9865,0.056,0.763,0.18,0.00764525993883792
297,4.5420875420875415,8,1,0.0,31.0,0.0,1,119.5,-0.9542,0.089,0.765,0.146,0.0035587188612099642
660,4.371212121212121,86,1,2.0,77.0,0.0,1,80.33333333333333,0.9955,0.126,0.833,0.041,0.0024596884394643345
218,4.931192660550459,16,1,3.0,32.0,0.0,1,83.3125,0.974,0.135,0.84,0.025,0.006666666666666667
2115,4.584869976359339,107,3,24.0,221.0,6.0,1,88.57352941176471,-0.9995,0.07,0.795,0.135,0.010179788194729497
113,3.902654867256637,13,0,4.0,16.0,0.0,1,70.875,0.2516,0.059,0.881,0.059,0.003484320557491289
818,4.361858190709047,8,2,12.0,72.0,5.0,1,108.65853658536585,-0.9991,0.082,0.71,0.209,0.002447163515016685
251,4.051792828685259,9,0,1.0,20.0,2.0,1,144.44444444444446,-0.6031,0.04,0.909,0.051,0.006880733944954129
389,4.763496143958869,16,3,17.0,46.0,0.0,1,145.3125,0.4017,0.087,0.823,0.09,0.01282051282051282
164,4.384146341463413,2,0,1.0,11.0,0.0,1,74.16666666666667,-0.5775,0.046,0.88,0.074,0.005549389567147614
223,4.264573991031391,0,1,8.0,28.0,1.0,1,108.72727272727273,0.9605,0.113,0.86,0.028,0.0024875621890547263
158,4.417721518987341,10,1,0.0,13.0,0.0,1,67.92307692307692,0.9703,0.198,0.711,0.091,0.013407821229050279
394,4.558375634517767,10,0,6.0,43.0,0.0,1,102.72727272727273,0.8316,0.052,0.926,0.022,0.0070144673388864535
709,4.263751763046544,12,0,0.0,62.0,1.0,1,110.70588235294117,0.9873,0.124,0.807,0.069,0.004477218856992362
521,4.7447216890595,6,2,12.0,56.0,0.0,1,160.3684210526316,0.9831,0.073,0.918,0.008,0.005872756933115824
1974,4.441742654508612,60,4,7.0,199.0,10.0,1,105.60576923076923,-0.982,0.071,0.846,0.083,0.007126104997293884
137,4.109489051094891,3,0,0.0,8.0,0.0,1,101.71428571428571,0.6187,0.062,0.938,0.0,0.004178272980501393
